Sno.,Purchase Id,Invoice No,Pur.Date,Challan Date,Challan Num..,Supplier,Barcode,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
134,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD30,Hoodies,61102000,EX-TAX,5,30,Gray,128,128,445,0,0,56960,2848,59808,720,720
135,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD32,Hoodies,61102000,EX-TAX,5,32,Gray,66,66,455,0,0,30030,1501.5,31531.5,730,730
136,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD34,Hoodies,61102000,EX-TAX,5,34,Gray,71,71,465,0,0,33014.99,1650.76,34665.75,740,740
137,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD36,Hoodies,61102000,EX-TAX,5,36,Gray,39,39,475,0,0,18525.01,926.24,19451.25,760,760
138,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD38,Hoodies,61102000,EX-TAX,5,38,Gray,16,16,485,0,0,7760,388,8148,780,780
139,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD40,Hoodies,61102000,EX-TAX,5,40,Gray,6,6,500,0,0,3000,150,3150,800,800
140,149,KA 23-24 175,24/11/2023,24/11/2023,0,Dristi Associates,HD42,Hoodies,61102000,EX-TAX,5,42,Gray,7,7,520,0,0,3640,182,3822,830,830
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
,,,,,,Dristi Associates,,,,,,,,,,,,,,,,,
