Sno.,Purchase Id,Invoice No,Pur.Date,Supplier,Barcode,Category,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
38,133,0,19/04/2023,Sai Book House,SHPP4,Stationary,Sadbhavana Hindi Patyak pusthak 4,0,Non GST,0,4,White,188,188,79.2,0,0,0,0,14889.6,132,132
39,133,0,19/04/2023,Sai Book House,FC2,Stationary,Friday Comprehension 2,Oxford,Non GST,0,2,White,168,168,204,0,0,0,0,34272,255,255
40,133,0,19/04/2023,Sai Book House,OXD,Stationary,Oxford Dictionary,Oxford,Non GST,0,0,White,553,553,206.5,0,0,0,0,114194.5,295,295
41,133,0,19/04/2023,Sai Book House,PC1,Stationary,Primary Comprehension (1),Cambridge,Non GST,0,1,White,197,197,182,0,0,0,0,35854,260,260
42,133,0,19/04/2023,Sai Book House,PC2,Stationary,Primary Comprehension (2),Cambridge,Non GST,0,2,White,188,188,217,0,0,0,0,40796,310,310
43,133,0,19/04/2023,Sai Book House,MAT8,Stationary,Mathematics 8,NCERT,Non GST,0,8,White,180,180,65,0,0,0,0,11700,65,65
44,133,0,19/04/2023,Sai Book House,MAT7,Stationary,Mathematics 7,NCERT,Non GST,0,7,White,144,144,65,0,0,0,0,9360,65,65
45,133,0,19/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
46,133,0,19/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
47,133,0,19/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
48,133,0,19/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
49,134,0,19/04/2023,Sai Book House,CRN100,Stationary,Crown 100 PGS,0,INC-TAX,12,100,White,3410,3410,22.8,0,0,69417.86,8330.14,77748,38,38
50,134,0,19/04/2023,Sai Book House,CRN200,Stationary,Crown 200 PGS,0,INC-TAX,12,200,White,3020,3020,42,0,0,113250,13590,126840,70,70
51,134,0,19/04/2023,Sai Book House,RBR200,Stationary,Regualr Broad ruled 200,,INC-TAX,12,200,White,6010,6010,28.8,0,0,154542.86,18545.14,173088,48,48
52,134,0,19/04/2023,Sai Book House,ROBR100,Stationary,Regular one side Broad ruled 100,0,INC-TAX,12,100,White,770,770,15,0,0,10312.5,1237.5,11550,25,25
53,134,0,19/04/2023,Sai Book House,CRN140,Stationary,Crown 140 PGS,0,INC-TAX,12,140,White,550,550,33,0,0,16205.36,1944.64,18150,55,55
54,134,0,19/04/2023,Sai Book House,RCR60,Stationary,Regular check ruled 60,0,INC-TAX,12,60,White,275,275,12,0,0,2946.42,353.58,3300,20,20
